id,work_title,movement,clef,keysig,timesig,pae_data,rism_id,rism_opac_link,tu_da_link
30627478,Symphonie in G-Dur GWV 596 (1734),1. Allegro,G-2,xF,3,"{'8GDGDGD}/{G6B''C}{DEDC}{'BAGF}/{8G,B'E,B'E,B}/{'E6GA}",450002045,https://opac.rism.info/metaopac/search?View=rism&id=450002045,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-01/0002
30627480,Symphonie in G-Dur GWV 596 (1734),2. Largo,G-2,xF,c,{''36.GExD'B}{''GED'B}{''C'AxGE}{''C'AGE}/{''6E8AFG6E}q8E2(xD)/,450002045,https://opac.rism.info/metaopac/search?View=rism&id=450002045,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-01/0002
30627482,Symphonie in G-Dur GWV 596 (1734),3. Allegro,G-2,xF,2/4,''8D/G4B{6AF}/8G4A{6FD}/{EGFE}{DC'BA}/{8G''C}-'A/,450002045,https://opac.rism.info/metaopac/search?View=rism&id=450002045,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-01/0002
30627486,Symphonie in G-Dur GWV 597 (1735),1. Allegro,G-2,xF,c,{(''6GGG)}{(GGG)}{(GGG)}{(GGG)}{(GGG)}{(GGG)}{(GGG)}{(GGG)}/{(GGG)}{(GGG)},450002046,https://opac.rism.info/metaopac/search?View=rism&id=450002046,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-02/0002
30627488,Symphonie in G-Dur GWV 597 (1735),2. Andante,G-2,xF,3,{'6.E3G8F}-{6AG}{GFFG}/i/{8.E6''xD}q8D4E-/,450002046,https://opac.rism.info/metaopac/search?View=rism&id=450002046,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-02/0002
30627489,Symphonie in G-Dur GWV 597 (1735),3. Allegro,G-2,xF,c,{''68.GDD'B}{''8EC}qD{6C'B''8C}/{'6BGBG}{''D'B''D'B}{''8G'G}4-/{6BA8B}{6BA8B}''qC{'BA}4''C/,450002046,https://opac.rism.info/metaopac/search?View=rism&id=450002046,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-02/0002
30627492,Symphonie in F-Dur GWV 577 (1741),1. Largo,C-3,bB,c,'1A+/4A''Dq8C'4Bq8A{6GA8F}/4EFtG{8.A6F}/,450002047,https://opac.rism.info/metaopac/search?View=rism&id=450002047,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-03/0002
30627493,Symphonie in F-Dur GWV 577 (1741),2. Air 1,C-3,bB,3,{'8.6AB''CDCD}/{8'A6''DC}{'BAGF}{8AG}/{8.6AB''CDCD}/,450002047,https://opac.rism.info/metaopac/search?View=rism&id=450002047,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-03/0002
30627494,Symphonie in F-Dur GWV 577 (1741),3. Air 2,C-3,bB,6/8,{'8.A6BGA}/{FEFGAB}''4C8D/{'AAA}{6BAB''C'AB}/,450002047,https://opac.rism.info/metaopac/search?View=rism&id=450002047,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-03/0002
30627496,Symphonie in F-Dur GWV 577 (1741),4. Air 3,C-3,bB,c,4-{8'FF}{6FEFG}{8EE}/4Eqq6EFr{8GG}{6GFGA}{8FF}/4F{8BB},450002047,https://opac.rism.info/metaopac/search?View=rism&id=450002047,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-03/0002
30627497,Symphonie in F-Dur GWV 577 (1741),5. Air 4,C-3,bB,6/8,"{'8ABG}{FC,A}/{'ABG}F--/{''CD'6.B3B}{8B''C'6.A3A}/",450002047,https://opac.rism.info/metaopac/search?View=rism&id=450002047,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-03/0002
30627500,Symphonie in G-Dur GWV 610 (1743),1. Allegro,G-2,xF,c,{'8GD}6-{DEF}{8GD}6-{DEF}/{8GD}6-{DEF}{8GD''D'B}/''1G/,450002048,https://opac.rism.info/metaopac/search?View=rism&id=450002048,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-04/0002
30627501,Symphonie in G-Dur GWV 610 (1743),2. Andante,G-2,xF,c,{'6B8BBB''6G}{'B8BBB''6G}/{'A8AAA''6A}{'A8AAA6F}/{G8BB},450002048,https://opac.rism.info/metaopac/search?View=rism&id=450002048,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-04/0002
30627503,Symphonie in G-Dur GWV 610 (1743),3. Allegro,G-2,xF,2/4,''8G/488G{DC}/Ct{'B''G}/G{DC}/Ct{'B''D}/,450002048,https://opac.rism.info/metaopac/search?View=rism&id=450002048,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-04/0002
30627506,Symphonie in D-Dur GWV 520 (1744),1. (ohne Bezeichnung),G-2,xFC,c,{''8D'D}q''G{F6ED}{8A'A}6-{AB''C}/!{3DC'6B}!fff{8''F'F},450002049,https://opac.rism.info/metaopac/search?View=rism&id=450002049,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-05/0002
30627508,Symphonie in D-Dur GWV 520 (1744),2. Andante,G-2,xFC,c,{''6D8C6D}{D8C6D}q8E{6DCEC}4D/{'6B8A6B}q''C{'B8A6B}''qC{'BA''nC'A}4B/,450002049,https://opac.rism.info/metaopac/search?View=rism&id=450002049,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-05/0002
30627510,Symphonie in D-Dur GWV 520 (1744),3. Allegro,G-2,xFC,6/8,{'3DEFG6AAAA}{''D'AAAAA}/i/{6D3EFGFGABAB''C}{8D'GF}/,450002049,https://opac.rism.info/metaopac/search?View=rism&id=450002049,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-05/0002
30627514,Symphonie in G-Dur GWV 598 (1746),1. Allegro,G-2,xF,3,"{'8GGGGGG}/{6G''DEF}{8G'BGD}/{,G'GGGGG}/{6G''DEF}{8G'BGD}/",450002050,https://opac.rism.info/metaopac/search?View=rism&id=450002050,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-06/0002
30627515,Symphonie in G-Dur GWV 598 (1746),2. Tempo di menuet,G-2,xF,3,{''8(BAG)}qG4FG/{(8DC'B)}q4B2A/{(8''BAG)}qG4FG/,450002050,https://opac.rism.info/metaopac/search?View=rism&id=450002050,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-06/0002
30627517,Symphonie in G-Dur GWV 598 (1746),3. Air. Allegro,G-2,xF,2/4,{''8DG}/{6FGFE}{8DG}/{6FGFE}{8DC}/{'BAGnF}/qF4E{''8CC}/,450002050,https://opac.rism.info/metaopac/search?View=rism&id=450002050,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-06/0002
30627519,Symphonie in G-Dur GWV 598 (1746),4. Menuet,G-2,xF,3,'4GDG/A4.A{6B''C}/'4B{(''8EDC)}{('BAG)}/{FDADFD}/,450002050,https://opac.rism.info/metaopac/search?View=rism&id=450002050,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-06/0002
30627521,Symphonie in G-Dur GWV 598 (1746),5. Air en Gavotte,G-2,xF,c,''4DG/4.66G{AB}G{AB}/'4G''DDG/4.66G{AB}G{AB}/,450002050,https://opac.rism.info/metaopac/search?View=rism&id=450002050,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-06/0002
30627524,Symphonie in D-Dur GWV 530 (1746),1. Vivace,G-2,xFC,3,'8{DDFFAA}/''{DDFFAA}/'''{DDDDDD}/,450002051,https://opac.rism.info/metaopac/search?View=rism&id=450002051,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-07-i/0002
30627526,Symphonie in D-Dur GWV 530 (1746),2. Air. Vivace,G-2,xFC,c,'4DAAA/4.At{6B''C}4D{8FD}/4ED-{8AD}/4CD-{8FD}/,450002051,https://opac.rism.info/metaopac/search?View=rism&id=450002051,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-07-i/0002
30627528,Symphonie in D-Dur GWV 530 (1746),3. Air. Allegro,G-2,xFC,c,'8A/{BABA}{''AAA'A}/i/{68.BG}{''G'B},450002051,https://opac.rism.info/metaopac/search?View=rism&id=450002051,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-07-i/0002
