"Datenbank","Lokaler Schlüssel (915)","Lokaler Schlüssel (915.1)","Lokaler Schlüssel (915.2)","Lokaler Schlüssel (915.3)","Lokaler Schlüssel (915.4)","Lokaler Schlüssel (915.5)","Lokaler Schlüssel (915.6)","Lokaler Schlüssel (915.7)","Lokaler Schlüssel (915.8)","Lokaler Schlüssel (915.9)","Datensatz-ID (0)","Verfasser (100)","Verfasser (100.1)","Verfasser (100.2)","Verfasser (100.3)","Hrsg./Beteiligt (101)","Hrsg./Beteiligt (101.1)","Hrsg./Beteiligt (101.2)","Hrsg./Beteiligt (101.3)","Institution (110)","Institution (110.1)","Institution (110.2)","Institution (110.3)","Sonstige Institutionen (112.1)","Titel (200)","Titel (200.1)","Titel (200.2)","Titel (100000)","Verfasserangabe (245)","Verfasserangabe (245.1)","Ausgabe (250)","Ausgabe (250.1)","Ausgabe (250.2)","Ausgabe (250.3)","Ort (260)","Ort (260.1)","Ort (260.2)","Ort (260.3)","Verlag (270)","Verlag (270.1)","Verlag (270.2)","Verlag (270.3)","Erscheinungsjahr (280)","Erscheinungsjahr (280.1)","Erscheinungsjahr (280.2)","Umfang (300)","Umfang (300.1)","Reihe (400)","Reihe (400.1)","Reihe (400.2)","Reihe (400.3)","Fußnote (500)","Fußnote (500.1)","ISBN (490)","ISBN (490.1)","ISBN (490.2)","ISBN (490.3)","ISSN (491)","ISSN (491.1)","ISSN (491.2)","ISSN (491.3)","ISMN (492)","ISMN (492.1)","ISMN (492.2)","ISMN (492.3)","Systematik (080)","Systematik (080.1)","Thema (Schlagwort) (600)","Thema (Schlagwort) (600.1)","Thema (Schlagwort) (600.2)","Thema (Schlagwort) (600.3)","In (770)","In (770.1)","Signatur (852)","Signatur (852.1)","Signatur (852.2)","Signatur (852.3)","URL (850)","URL (850.1)","Standortsignatur (863.1)","Standortsignatur (863.2)",880,880.1
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002045",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Die Partitur trägt den Titel: ""Sinfonia a 2. Violin. Viola e Cembalo. Christoph Graupner""",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/1",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002046",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Die Partitur trägt den Titel: ""Sinfonia a 2 Violis. Viola e Cembalo. Christoph Graupner""",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/2",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002047",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Dazu 6f. (21,5 x 17 cm) autographe Partiturskizze",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/3",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002048",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Alte Zählung: 4 Bogen",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/4",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002049",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Stimmen von anderer Hand",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/5",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002050",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Duplikate von anderer Hand",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/6",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002051",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"timp in ,,G,,A,,B,D",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/7,I",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002053",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"timp in ,,F,,G,,A,,B,C,D",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/8",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002054",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"timp in ,,F,,G,C",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/9",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002055",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Duplikate von anderer Hand",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/10",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002056",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"timp in ,,G,,A,,B,D",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/11",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002057",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"timp in ,,G,,A,,B,D",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/12",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002058",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"timp in ,,G,,A,,B,C,D",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/13",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002059",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: vlc, vlne, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/14,I",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002061",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: vlc, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/15",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002062",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: b, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/16",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002063",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"timp in ,,G,,A,,B,D",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/17",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002064",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"timp in ,,G,,A,,B,D",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/18",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002065",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: b, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/19",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002066",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/20",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002067",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: b, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/21",,,,,,,,
